Country,Very important (%),Rather important (%),Not very important (%),Not at all important (%),No answer (%),Don't know (%)
Algeria,90.7,6.7,1.2,0.9,0.3,0.2
Azerbaijan,35.9,33.3,20.5,10.2,0,0
Argentina,24.1,32.1,24.7,17.8,0.7,0.7
Australia,14.1,17,27.9,37.4,3.7,0
Armenia,57.5,31.8,7.1,3.5,0.1,0
Brazil,51.5,37.9,7.3,3.2,0.1,0.1
Belarus,15.9,32.1,33.4,17.4,0,1.2
Chile,23.8,35.1,27.3,13,0.7,0.1
China,2.6,8,29.6,49.8,0.8,9.2
Taiwan,17.7,35,37.2,8.6,0,1.5
Colombia,58.9,26.5,11.1,3.5,0.1,0
Cyprus,51.1,28.8,13.2,6.6,0.3,0
Ecuador,67.1,20.8,9.5,2.7,0,0
Estonia,7.6,17.7,37.4,35.7,0.2,1.4
Georgia,84.9,12.1,2.1,0.8,0,0
Palestine,87.5,9.4,2.3,0.7,0,0.1
Germany,13.1,24.9,36.1,25.6,0.1,0.2
Ghana,91.1,7.4,1.5,0,0,0
Haiti,28,47.4,16.1,7.4,0.3,0.9
Hong Kong,12.1,21.3,43.8,22.6,0.2,0
India,67.1,24.2,5.5,1.8,0,1.4
Iraq,84.7,12.8,2.3,0.2,0,0
Japan,5.4,13.6,33.2,34.3,0,13.5
Kazakhstan,21.5,33.5,33.6,11.4,0,0
Jordan,93.3,6.2,0.2,0.1,0,0.2
South Korea,25.7,28.5,26.1,18.5,1.2,0
Kuwait,86.5,7.4,2.1,0.5,2.4,1.2
Kyrgyzstan,39.3,45.5,11.4,3.7,0,0
Lebanon,52.9,24.1,11.8,8.2,1.3,1.7
Libya,94.9,3,0.3,0.1,0.1,1.6
Malaysia,84.8,12,2.9,0.2,0,0
Mexico,58.4,25.4,11.2,5,0,0
Morocco,88.9,9.8,0.8,0.2,0.1,0.1
Netherlands,10.7,14.5,28.9,43.8,0,2.1
New Zealand,18.7,17.4,27.9,30.7,4.4,1
Nigeria,89.8,7.7,1.8,0.7,0,0
Pakistan,89.5,8,1.2,0.6,0.5,0.2
Peru,49.9,30.3,15.7,2.8,0.7,0.5
Philippines,85.9,12.2,1.6,0.3,0,0
Poland,45.7,33.9,15.1,4.8,0.1,0.4
Qatar,98.9,0.9,0.2,0,0,0
Romania,50.5,33.3,12.7,3.2,0.1,0.3
Russia,14.3,27.5,30.5,22.4,1.3,4
Rwanda,40.3,32,24.2,3.5,0,0
Singapore,43.1,33.6,17.8,5.4,0.1,0
Slovenia,11.2,21.7,40.5,25.9,0.4,0.3
South Africa,55.8,28.1,9.8,4.8,0,1.6
Zimbabwe,83.5,12.1,3.7,0.7,0,0
Spain,10.7,21.3,31.2,35.9,0.6,0.3
Sweden,7.9,18.3,38.5,34.3,0.7,0.4
Thailand,56.6,31.1,9.5,2.3,0.3,0.2
Trinidad and Tobago,78.5,12.1,6.5,2,0,0.9
Tunisia,95.4,2.7,1,0.6,0.1,0.2
Turkey,68.1,24.6,4,3,0,0.3
Ukraine,26.3,34.5,26.5,12.8,0,0
Egypt,94.1,5.7,0,0.1,0,0
United States,40.4,28,18.2,12.7,0.7,0
Uruguay,20.3,18.3,30.1,30.6,0.5,0.2
Uzbekistan,34.3,38.7,19.6,6.2,1.2,0
Yemen,95.8,2.8,0.4,0.8,0,0.2
